"n","B","j","proj_lambda","delta_lambda","psi_proj","psi_delta","se_proj","se_delta","lower_proj","upper_proj","lower_delta","upper_delta"
500,6,3,0.35176478588629,0.35176478588629,1.37042053396132,1.35750887353888,0.167574981795007,0.148377681458421,1.04197356964311,1.69886749827953,1.06668861788037,1.64832912919738
500,6,4,0.335776533475738,0.335776533475738,1.3704295087303,1.35750942940081,0.167575014990669,0.148277237020168,1.04198247934859,1.69887653811201,1.06688604484128,1.64813281396034
500,6,5,0.320514971812527,0.320514971812527,1.37067022221609,1.35750996660762,0.167596441309858,0.148129807570924,1.04218119724877,1.69915924718341,1.06717554376861,1.64784438944663
500,6,6,0.305947071680658,0.305947071680658,1.36992807333215,1.35752291965397,0.167613726215828,0.148691416109908,1.04140516994913,1.69845097671517,1.06608774407855,1.64895809522939
500,6,7,0.29204130509298,0.29204130509298,1.37222966720831,1.37056515827067,0.167491947435775,0.146136261720949,1.04394545023419,1.70051388418243,1.08413808529761,1.65699223124372
500,6,8,0.278767577058012,0.278767577058012,1.37329435720538,1.37081489154502,0.167432434104642,0.146373322776281,1.04512678636028,1.70146192805048,1.08392317890351,1.65770660418653
500,6,9,0.266097160448084,0.266097160448084,1.37346286820627,1.37574054277689,0.167272537773578,0.147324444926507,1.04560869417005,1.70131704224248,1.08698463072093,1.66449645483284
500,6,10,0.254002633827815,0.254002633827815,1.37231962461816,1.38217904851237,0.167218486142964,0.148257068447842,1.04457139177795,1.70006785745837,1.0915951943546,1.67276290267014
500,6,11,0.242457822108382,0.242457822108382,1.37225552440764,1.38701312166009,0.167209520885615,0.14904689389296,1.04452486347183,1.69998618534344,1.09488120962989,1.67914503369029
500,7,1,0.233238347509755,0.233238347509755,2.06992896795709,2.07015722280071,0.211886417362185,0.203213142507022,1.65463158992721,2.48522634598697,1.67185946348695,2.46845498211447
500,7,2,0.222637304649794,0.222637304649794,2.06992728434969,2.07015540265586,0.211886282083027,0.203001518414207,1.65463017146695,2.48522439723242,1.67227242656401,2.4680383787477
500,7,3,0.212518095548811,0.212518095548811,2.06992607054652,2.07015539695449,0.211886295842165,0.203001188765354,1.65462893069588,2.48522321039717,1.67227306697439,2.46803772693458
500,7,4,0.20285882011883,0.20285882011883,2.06992426162735,2.07015540069327,0.211886162777407,0.202998724536697,1.65462738258364,2.48522114067107,1.67227790060134,2.4680329007852
500,7,5,0.19363857366467,0.19363857366467,2.06992384712374,2.07015515888471,0.211886438106408,0.202968411564801,1.65462642843518,2.4852212658123,1.6723370722177,2.46797324555172
500,7,6,0.184837401641809,0.184837401641809,2.06992107551232,2.07015483974117,0.211885897925032,0.202935253226068,1.65462471557925,2.48521743544538,1.67240174341808,2.46790793606427
500,7,7,0.176436256470573,0.176436256470573,2.0699087411799,2.07015483957641,0.211881576189637,0.202938821595605,1.65462085184821,2.48519663051159,1.67239474924903,2.4679149299038
500,7,8,0.168416956313177,0.168416956313177,2.0698323833303,2.07015483171826,0.21186993318375,0.202951371600993,1.65456731429015,2.48509745237044,1.67237014338031,2.4679395200562
500,7,9,0.160762145724426,0.160762145724426,2.06983474647903,2.07015445281822,0.211870017051633,0.203156304174392,1.65456951305783,2.48509997990023,1.67196809663641,2.46834080900003
500,7,10,0.153455258090896,0.153455258090896,2.06964444961015,2.07003147673838,0.211867214390402,0.206323591215305,1.65438470940496,2.48490418981533,1.66563723795638,2.47442571552037
500,7,11,0.146480479777308,0.146480479777308,2.06963931839382,2.07168260766931,0.211868642140681,0.207517659840456,1.65437677979808,2.48490185698955,1.66494799438202,2.47841722095661
500,8,1,0.660527949233837,0.660527949233837,1.51628972814929,1.54462547411436,0.170869256174671,0.145108417227584,1.18138598604694,1.85119347025165,1.26021297634829,1.82903797188042
500,8,2,0.630505934523165,0.630505934523165,1.51633699811787,1.54462506982519,0.170916344556017,0.145073845221219,1.18134096278808,1.85133303344767,1.2602803331916,1.82896980645878
500,8,3,0.601848466715215,0.601848466715215,1.51676656892671,1.544624202709,0.170706702032372,0.144758026149409,1.18218143294326,1.85135170491016,1.26089847145615,1.82834993396184
500,8,4,0.574493525047299,0.574493525047299,1.51692187074087,1.54462411760489,0.170670791279184,0.144777256596609,1.18240711983367,1.85143662164807,1.26086069467554,1.82838754053425
500,8,5,0.548381907696116,0.548381907696116,1.51962987611576,1.54462390619467,0.170669983090962,0.145273369414063,1.18511670925748,1.85414304297405,1.25988810214311,1.82935971024623
500,8,6,0.5234571036526,0.5234571036526,1.51983068158718,1.54462370225648,0.170663586397592,0.145028013136027,1.1853300522479,1.85433131092646,1.26036879650987,1.82887860800309
500,8,7,0.499665170420263,0.499665170420263,1.51829738336658,1.54462371131011,0.170619642888227,0.144916943937087,1.18388288330566,1.85271188342751,1.26058650119342,1.8286609214268
500,8,8,0.476954617272334,0.476954617272334,1.51830927809357,1.5446237112768,0.170620394067076,0.144918538383627,1.1838933057221,1.85272525046503,1.26058337604489,1.82866404650871
500,8,9,0.455276293815043,0.455276293815043,1.51830463669006,1.54462332470367,0.170619998530659,0.144861022998888,1.18388943956996,1.85271983381015,1.26069571962585,1.8285509297815
500,9,1,0.481665272791792,0.481665272791792,1.50140630304314,1.50611807806506,0.161314205270461,0.145593199550125,1.18523046071304,1.81758214537325,1.22075540694682,1.79148074918331
500,9,2,0.459772842771006,0.459772842771006,1.50140918296777,1.50611976431037,0.16131232822623,0.146300092404635,1.18523701964436,1.81758134629118,1.21937158319729,1.79286794542346
500,9,3,0.438875457482088,0.438875457482088,1.5014183836154,1.50611980630995,0.161311100321915,0.146755365752326,1.18524862698444,1.81758814024635,1.21847928943539,1.79376032318451
500,9,4,0.418927890606284,0.418927890606284,1.50150247432474,1.5061199588208,0.161293526850648,0.146955335101237,1.18536716169747,1.81763778695201,1.21808750202237,1.79415241561922
500,9,5,0.399886971430826,0.399886971430826,1.50150179808603,1.50484029647312,0.161293792581609,0.146928271898383,1.18536596462608,1.81763763154598,1.21686088355229,1.79281970939395
500,9,6,0.38171149141847,0.38171149141847,1.50142428210576,1.50483759513077,0.161291536019775,0.146531371084136,1.185292871507,1.81755569270452,1.21763610780586,1.79203908245567
500,9,7,0.364362115023587,0.364362115023587,1.50142679245461,1.50483759156733,0.161290469849964,0.146540627906262,1.18529747154868,1.81755611336054,1.21761796087106,1.7920572222636
500,9,8,0.347801294561807,0.347801294561807,1.50140846879001,1.50483845186336,0.161289997608503,0.146517496603485,1.18528007347735,1.81753686410268,1.21766415852053,1.79201274520619
500,10,1,0.397991674764064,0.397991674764064,1.54778343251015,1.56320483176102,0.200319604226367,0.149802724754968,1.15515700822647,1.94040985679383,1.26959149124128,1.85681817228076
500,10,2,0.379902338910296,0.379902338910296,1.5476713620564,1.563203930842,0.200316610340666,0.149873685305624,1.1550508057887,1.94029191832411,1.26945150764298,1.85695635404103
500,10,3,0.362635191289044,0.362635191289044,1.54843094963445,1.51637162142984,0.200050772525862,0.147691570418749,1.15633143548376,1.94053046378514,1.22689614340909,1.80584709945059
1000,1,1,0.311716173838318,0.311716173838318,1.45470362889712,1.4809397070097,0.114516015487781,0.103302318393548,1.23025223854107,1.67915501925317,1.27846716295834,1.68341225106105
1000,1,2,0.297548192653899,0.297548192653899,1.45473320782618,1.53952867123914,0.114536427404371,0.108706318921847,1.23024181011361,1.67922460553874,1.32646428615232,1.75259305632596
1000,1,3,0.284024168080297,0.284024168080297,1.45460589078218,1.53952866513852,0.114532756775921,0.108706120728119,1.23012168750138,1.67909009406299,1.32646466851141,1.75259266176564
1000,1,4,0.271114831295709,0.271114831295709,1.45561029847115,1.54097816624556,0.114611269924094,0.108788024436907,1.23097220941993,1.68024838752237,1.32775363834922,1.7542026941419
1000,1,5,0.258792243791452,0.258792243791452,1.45557649562283,1.52299832923553,0.114577004040395,0.109310416430396,1.23100556770365,1.680147423542,1.30874991303195,1.73724674543911
1000,1,6,0.247029736907184,0.247029736907184,1.45527219659858,1.52934808332209,0.114584109186133,0.109081622220388,1.23068734259375,1.6798570506034,1.31554810377013,1.74314806287405
1000,1,7,0.235801854114331,0.235801854114331,1.45527311560736,1.52934819252233,0.114584217307368,0.109071079503953,1.23068804968492,1.6798581815298,1.31556887669458,1.74312750835008
1000,1,8,0.225084295922834,0.225084295922834,1.45530431256576,1.52936268313783,0.114585031486605,0.109039095574143,1.23071765085201,1.6798909742795,1.31564605581251,1.74307931046315
1000,2,1,0.180639378326448,0.180639378326448,1.80065807486621,1.86616237165651,0.125878440501124,0.116216942353611,1.55393633148401,2.04737981824841,1.63837716464344,2.09394757866959
1000,2,2,0.164591873818915,0.164591873818915,1.80065950153752,1.86687885721149,0.125878640725997,0.116278269358027,1.55393736571456,2.04738163736047,1.63897344926975,2.09478426515322
1000,2,3,0.149969985383055,0.149969985383055,1.79465781200558,1.84276882642757,0.125494039225743,0.115779605616389,1.54868949512312,2.04062612888804,1.61584079941944,2.06969685343569
1000,2,4,0.136647065216224,0.136647065216224,1.79475491000108,1.83837491584474,0.125490950953988,0.115971705678466,1.54879264613127,2.0407171738709,1.61107037271494,2.06567945897453
1000,2,5,0.124507716557508,0.124507716557508,1.79474834567373,1.83837490480343,0.125490939699033,0.115983769301438,1.54878610386362,2.04071058748383,1.61104671697261,2.06570309263425
