"n","B","j","lambda_relax","lambda_tmle","psi_relax","psi_tmle","lower_relax","lower_tmle","upper_relax","upper_tmle"
500,2,9,0.045240281539782,0.045240281539782,1.3517277180319,1.30925517312655,1.17323196262171,1.13035948733096,1.53022347344209,1.48815085892214
500,2,10,0.0431840409227458,0.0431840409227458,1.35164183904,1.3099010376011,1.17300715869334,1.13125933585718,1.53027651938665,1.48854273934502
500,2,11,0.0412212596152285,0.0412212596152285,1.35867297014901,1.30615904483843,1.18140331784548,1.12819740798862,1.53594262245253,1.48412068168823
500,2,12,0.0393476897473731,0.0393476897473731,1.35981985997605,1.30527505615601,1.18246390257322,1.12732750810853,1.53717581737887,1.4832226042035
500,2,13,0.0375592765215637,0.0375592765215637,1.36121432773952,1.30564870749098,1.18351098243161,1.1276034263569,1.53891767304744,1.48369398862506
500,2,14,0.0358521494369937,0.0358521494369937,1.3621749504523,1.3055922025494,1.18438277526545,1.12755358929694,1.53996712563914,1.48363081580186
500,2,15,0.0342226139130918,0.0342226139130918,1.36102532335013,1.304639047742,1.18306126651913,1.12617127774442,1.53898938018113,1.48310681773958
500,2,16,0.0326671432936755,0.0326671432936755,1.37576215667434,1.30521075704406,1.19724015978948,1.12682463508736,1.5542841535592,1.48359687900076
500,2,17,0.031182371214529,0.031182371214529,1.37781838822778,1.30420326478394,1.19898619836077,1.12609763276729,1.55665057809479,1.4823088968006
500,2,18,0.029765084317885,0.029765084317885,1.3796407374522,1.3046687100282,1.20137432619085,1.1266417290636,1.55790714871355,1.48269569099281
500,2,19,0.0284122152980465,0.0284122152980465,1.39348304369284,1.30384395453697,1.21405998518856,1.12577093917424,1.57290610219711,1.4819169698997
500,2,20,0.0271208362630941,0.0271208362630941,1.38381098325654,1.30099507182189,1.20400501061576,1.1226153598544,1.56361695589732,1.47937478378938
500,2,21,0.0258881523983147,0.0258881523983147,1.38408071814845,1.30008992706586,1.20416019496687,1.1218326153586,1.56400124133002,1.47834723877313
500,2,22,0.0247114959176377,0.0247114959176377,1.37802449206096,1.29926676531064,1.19730060044136,1.12085780101994,1.55874838368057,1.47767572960135
500,2,23,0.0235883202899863,0.0235883202899863,1.3743492511671,1.29524980601275,1.19553801660017,1.11698547223533,1.55316048573403,1.47351413979016
500,2,24,0.0225161947280514,0.0225161947280514,1.37232663303392,1.29459569951523,1.19341058837279,1.11636940207005,1.55124267769506,1.47282199696041
500,2,25,0.0214927989275588,0.0214927989275588,1.37915133362969,1.29922591901368,1.19836294455473,1.11973108280622,1.55993972270465,1.47872075522115
500,2,26,0.0205159180456444,0.0205159180456444,1.38541992507133,1.29905756057442,1.20268824058187,1.1195748964364,1.56815160956078,1.47854022471245
500,2,27,0.0195834379074705,0.0195834379074705,1.37362408247443,1.29839040276196,1.18940399502322,1.1187409993444,1.55784416992564,1.47803980617951
500,2,28,0.0186933404307088,0.0186933404307088,1.37799987503072,1.29857874961563,1.19315620713687,1.11853270125032,1.56284354292458,1.47862479798094
500,2,29,0.0178436992579874,0.0178436992579874,1.38235674009266,1.29672276067848,1.19605745719984,1.11667627223536,1.56865602298549,1.4767692491216
500,2,30,0.0170326755878498,0.0170326755878498,1.39307159981331,1.29874383326523,1.20683132885089,1.11842388646631,1.57931187077573,1.47906378006415
500,2,31,0.0162585141952037,0.0162585141952037,1.39414053189933,1.29539879774287,1.20779774035681,1.11369012874164,1.58048332344184,1.47710746674409
500,2,32,0.0155195396326462,0.0155195396326462,1.39666105112721,1.29395725005026,1.20858572133106,1.11260194403257,1.58473638092337,1.47531255606795
500,2,33,0.0148141526044446,0.0148141526044446,1.39137456852592,1.29362514793112,1.20291464388028,1.11214343074168,1.57983449317156,1.47510686512055
500,2,34,0.0141408265053255,0.0141408265053255,1.39683366834316,1.29455394480359,1.20957581671298,1.11307240442389,1.58409151997334,1.47603548518329
500,2,35,0.0134981041165812,0.0134981041165812,1.40451725812181,1.29565206003291,1.21709254131635,1.11416899019383,1.59194197492728,1.477135129872
500,2,36,0.0128845944523433,0.0128845944523433,1.40480379050586,1.29673009409197,1.21669928032068,1.1157472937622,1.59290830069104,1.47771289442175
500,2,37,0.012298969749198,0.012298969749198,1.40962604301664,1.29630280140441,1.22200755484705,1.11537414870932,1.59724453118622,1.47723145409949
500,2,38,0.0117399625926275,0.0117399625926275,1.41326438421474,1.29696280639311,1.22531971859343,1.11614251757218,1.60120904983606,1.47778309521403
500,2,39,0.0112063631740602,0.0112063631740602,1.40964285608107,1.29674865445437,1.22162687120845,1.11590684746895,1.59765884095369,1.47759046143979
500,2,40,0.0106970166725912,0.0106970166725912,1.41234346341793,1.29610223890306,1.22413867313293,1.11535967690206,1.60054825370292,1.47684480090406
500,2,41,0.0102108207557079,0.0102108207557079,1.42475668413676,1.29724536683851,1.23570608432277,1.11659654325404,1.61380728395075,1.47789419042299
500,2,42,0.00974672319361155,0.00974672319361155,1.42740449343318,1.30174313884976,1.23831680817567,1.12097867928461,1.6164921786907,1.48250759841492
500,2,43,0.00930371958197201,0.00930371958197201,1.41665905299331,1.30145380851391,1.22596443502998,1.12037527054761,1.60735367095664,1.4825323464802
500,2,44,0.00888085116818587,0.00888085116818587,1.43071357653231,1.30203325270651,1.23872670671095,1.1210028723825,1.62270044635367,1.48306363303053
500,2,45,0.00847720277643526,0.00847720277643526,1.42223745170227,1.3003967739763,1.23016181409798,1.11946821772765,1.61431308930656,1.48132533022494
500,3,1,0.229241099566159,0.229241099566159,1.36808075612094,1.38272006303786,1.19406760116181,1.20791127959089,1.54209391108006,1.55752884648483
500,3,2,0.218821737794339,0.218821737794339,1.36536407966806,1.38111003919659,1.19151160280624,1.20656841255729,1.53921655652988,1.55565166583589
500,3,3,0.208875952095647,0.208875952095647,1.36493545843114,1.38101344608389,1.19020574674549,1.20513121211382,1.53966517011678,1.55689568005395
500,3,4,0.199382217706671,0.199382217706671,1.41592135478611,1.39312941451805,1.22542622942674,1.21740566982477,1.60641648014549,1.56885315921132
500,3,5,0.190319988197716,0.190319988197716,1.4009223517208,1.39013769290892,1.20823904189222,1.2131703400223,1.59360566154937,1.56710504579554
500,3,6,0.173412484990099,0.173412484990099,1.41186647851353,1.3906415065435,1.21768336565993,1.21367175998261,1.60604959136712,1.5676112531044
500,3,7,0.165530619913192,0.165530619913192,1.39834671684715,1.39451756133188,1.20372183644349,1.21732080035226,1.59297159725081,1.57171432231149
500,3,8,0.15082533586161,0.15082533586161,1.3977100131942,1.39499368625426,1.20292510484428,1.21763229696802,1.59249492154412,1.57235507554051
500,3,9,0.143970091572202,0.143970091572202,1.39185050233244,1.39735252687804,1.19677974945527,1.21991147791473,1.5869212552096,1.57479357584134
500,3,10,0.137426428715709,0.137426428715709,1.38903961712376,1.39732230299716,1.1934630245173,1.21993395062898,1.58461620973021,1.57471065536533
500,3,11,0.131180185435127,0.131180185435127,1.38832901702197,1.39588950160235,1.19373436437194,1.21910369698842,1.58292366967199,1.57267530621629
500,3,12,0.125217843551714,0.125217843551714,1.39982428496693,1.39877048341131,1.20647857750144,1.22218682462106,1.59316999243242,1.57535414220155
500,3,13,0.114093835445418,0.114093835445418,1.40277588175789,1.40265290477093,1.21036698685706,1.22614216050881,1.59518477665871,1.57916364903305
500,3,14,0.108908094539053,0.108908094539053,1.3977797475205,1.40190603124434,1.20586656511615,1.22546689961052,1.58969292992485,1.57834516287816
500,3,15,0.0947227066023444,0.0947227066023444,1.39732642878207,1.40142723880174,1.20536065425258,1.2249024980041,1.58929220331155,1.57795197959939
500,3,16,0.0863078024145109,0.0863078024145109,1.39025897365352,1.40419529018115,1.19763206712935,1.22797554653825,1.58288588017769,1.58041503382406
500,3,17,0.0823849795926459,0.0823849795926459,1.3941080011134,1.40657609884239,1.20098400383132,1.22946181745795,1.58723199839549,1.58369038022682
500,3,18,0.0786404551222769,0.0786404551222769,1.40624960636921,1.40796068157728,1.21349219139159,1.23084085717403,1.59900702134684,1.58508050598054
500,3,19,0.0750661250681536,0.0750661250681536,1.40172540663221,1.40673932757425,1.20978398720909,1.22957267347631,1.59366682605534,1.5839059816722
500,3,20,0.0716542538313902,0.0716542538313902,1.41470862382693,1.40668733921078,1.22156342710446,1.2296120108058,1.60785382054941,1.58376266761576
500,3,21,0.0683974574080089,0.0683974574080089,1.4145852070357,1.40724291584414,1.22204486666332,1.23039068927128,1.60712554740808,1.58409514241701
500,3,22,0.0652886874084084,0.0652886874084084,1.42070250440961,1.40876378958462,1.2284707110199,1.23201587744016,1.61293429779932,1.58551170172907
500,3,23,0.0623212158031732,0.0623212158031732,1.4290083366201,1.4084904121086,1.23613024830059,1.23212577626587,1.62188642493961,1.58485504795133
500,3,24,0.059488620362208,0.059488620362208,1.4229797539751,1.39888977864748,1.23239579936664,1.22284911669709,1.61356370858357,1.57493044059787
500,3,25,0.0567847707556874,0.0567847707556874,1.43508817666857,1.40197535697527,1.2445709755748,1.22582146057648,1.62560537776234,1.57812925337406
500,3,26,0.0542038152867375,0.0542038152867375,1.43263730947434,1.40195468673348,1.24230350716774,1.2258619628018,1.62297111178094,1.57804741066517
500,3,27,0.0517401682271384,0.0517401682271384,1.42979968672851,1.39571729330064,1.23942851129087,1.2185693534649,1.62017086216616,1.57286523313639
500,3,28,0.0493884977286386,0.0493884977286386,1.42817523823187,1.39440286671591,1.23705307516413,1.21762495614059,1.61929740129961,1.57118077729122
500,3,29,0.0471437142837185,0.0471437142837185,1.43257998982771,1.39407081788951,1.24082558506275,1.2172918152251,1.62433439459267,1.57084982055393
500,3,30,0.04500095971083,0.04500095971083,1.43997622337237,1.39457008493825,1.24761682419598,1.21741509429871,1.63233562254875,1.57172507557779
500,3,31,0.0429555966402741,0.0429555966402741,1.44425668678595,1.39443043722025,1.25138414744391,1.21729037625699,1.637129226128,1.57157049818351
500,3,32,0.0391395398253374,0.0391395398253374,1.454402350691,1.39494711332904,1.26151277146359,1.21715377918042,1.64729192991841,1.57274044747766
500,3,33,0.0373605873347302,0.0373605873347302,1.44759578501448,1.39608308786801,1.25459933111911,1.2185403356644,1.64059223890985,1.57362584007161
500,3,34,0.0356624909803464,0.0356624909803464,1.43080312352365,1.39160105988502,1.23924625147089,1.21400088296244,1.62235999557641,1.5692012368076
500,3,35,0.0340415757260062,0.0340415757260062,1.43099143191816,1.39148843243725,1.23942581537868,1.21379637389843,1.62255704845763,1.56918049097607
500,3,36,0.0324943335715962,0.0324943335715962,1.43286707623476,1.39127734604525,1.24009036925989,1.21363728545284,1.62564378320963,1.56891740663766
