"B","j","proj_lambda","delta_lambda","psi_proj","psi_delta","se_proj","se_delta","lower_proj","upper_proj","lower_delta","upper_delta"
5,12,0.0459008176131188,0.0459008176131188,2.22240206892605,2.22418607804122,0.306775571811843,0.268631945060159,1.62112194817484,2.82368218967727,1.6976674657233,2.75070469035913
5,13,0.0438145546121189,0.0438145546121189,2.22246191789649,2.20985104441871,0.306770675026299,0.288130608306767,1.62119139484495,2.82373244094804,1.64511505213745,2.77458703669997
5,14,0.0418231154843237,0.0418231154843237,2.22246079032879,2.20724340643649,0.306770401162904,0.287822940262088,1.6211908040495,2.82373077660808,1.6431104435228,2.77137636935018
5,15,0.0399221903383509,0.0399221903383509,2.22246926108437,2.20723644840123,0.306769636422974,0.287910800933002,1.62120077369534,2.8237377484734,1.64293127857255,2.77154161822991
5,16,0.0381076651740328,0.0381076651740328,2.22250703091275,2.20723849569779,0.3067698352741,0.287900283443592,1.62123815377551,2.82377590804999,1.64295394014835,2.77152305124723
5,17,0.0363756129788589,0.0363756129788589,2.22250160872714,2.20724240744275,0.306769074059541,0.28792244900289,1.62123422357044,2.82376899388385,1.64291440739708,2.77157040748841
5,18,0.034722285229098,0.034722285229098,2.22250739635764,2.20841454922569,0.306770364574937,0.283499051849592,1.62123748179076,2.82377731092451,1.65275640760049,2.76407269085089
5,19,0.0331441037772075,0.0331441037772075,2.22248029829532,2.22279222586462,0.306774815598052,0.288676893486437,1.62120165972314,2.8237589368675,1.6569855146312,2.78859893709804
5,20,0.0316376531079731,0.0316376531079731,2.22247833557704,2.22279192458262,0.306774705869091,0.288626727187678,1.62119991207362,2.82375675908046,1.65708353929477,2.78850030987046
5,21,0.0301996729466182,0.0301996729466182,2.22247481929816,2.22147595806633,0.306774719386675,0.288545675130741,1.62119636930028,2.82375326929605,1.65592643481007,2.78702548132258
5,22,0.0288270512028865,0.0288270512028865,2.22256740174596,2.22147500552372,0.306768805822286,0.288556619552437,1.62130054233428,2.82383426115764,1.65590403120094,2.78704597984649
5,23,0.027516817235827,0.027516817235827,2.22257226324376,2.22147414520558,0.306768647359639,0.288328951482931,1.62130571441887,2.82383881206865,1.65634940029904,2.78659889011213
5,24,0.0262661354247044,0.0262661354247044,2.22255565683241,2.2241070370447,0.306769549200526,0.288809708988911,1.62128734039938,2.82382397326545,1.65804000742643,2.79017406666297
