"n","B","j","relax_lambda","proj_lambda","delta_lambda","psi_relax","psi_proj","psi_delta","se_relax_np","se_proj_np","se_delta_np","lower_relax_np","upper_relax_np","lower_proj_np","upper_proj_np","lower_delta_np","upper_delta_np","s0","s0.1","s0.2","s0.3","s0.4","s0.5","s0.6","s0.7","s0.8","lambda.min","lambda.min.1","lambda.min.2","lambda.min.3","lambda.min.4","lambda.min.5","lambda.min.6","lambda.min.7","lambda.min.8","se_relax_delta","se_proj_delta","se_delta_delta","lower_relax_delta","upper_relax_delta","lower_proj_delta","upper_proj_delta","lower_delta_delta","upper_delta_delta"
500,14,1,0.18192914702216,0.18192914702216,0.18192914702216,1.58630280073074,1.56037515126413,1.56034686774609,0.117380527247862,0.116364217626163,0.116364077229368,1.35623696732493,1.81636863413655,1.33230128471685,1.78844901781141,1.33227327637653,1.78842045911566,0.0952575151528134,0.102713251933221,0.10271360645822,1.39959807103122,1.77300753043025,1.35905717747502,1.76169312505325,1.35902819908798,1.7616655364042,0.0802511455813217,0.0989453883985624,0.0985995314065324,1.42901055539135,1.74359504607013,1.36644219000295,1.75430811252532,1.36709178618929,1.7536019493029,0.117579644910044,0.116597678628881,0.116597540148913,1.35584669670705,1.81675890475442,1.33184370115153,1.78890660137674,1.33181568905423,1.78887804643796
500,14,2,0.119697230359491,0.119697230359491,0.119697230359491,1.58630280073074,1.56037726911024,1.56034703692895,0.117270584096851,0.116364237737404,0.116364072249984,1.35645245590091,1.81615314556057,1.33230336314493,1.78845117507555,1.33227345531898,1.78842061853892,0.0950288252901644,0.102795085443272,0.10279565183574,1.40004630316202,1.77255929829946,1.35889890164143,1.76185563657905,1.3588675593309,1.761826514527,0.0800032753663114,0.0978198367440317,0.098599527816558,1.42949638101277,1.74310922044871,1.36865038909194,1.75210414912854,1.36709196240849,1.7536021114494,0.117320504859921,0.116419806024855,0.116419642477841,1.35635461120529,1.81625099025618,1.33219444930153,1.78856008891896,1.33216453767238,1.78852953618551
500,15,1,0.222159623218482,0.222159623218482,0.222159623218482,1.61966727023501,1.60385507960009,1.6047515533076,0.121086344782429,0.120833501322088,0.120834546756387,1.38233803446145,1.85699650600857,1.3670214170088,1.84068874219139,1.36791584166508,1.84158726495012,0.0997375026912198,0.106976938385773,0.106979136753101,1.42418176496022,1.8151527755098,1.39418028036398,1.81352987883621,1.39507244527152,1.81443066134368,0.0982706322399888,0.106827611479167,0.10682978421238,1.42705683104463,1.81227770942539,1.39447296110093,1.81323719809926,1.39536517625133,1.81413793036387,0.120524973979687,0.120463793125908,0.120464357065639,1.38343832123482,1.8558962192352,1.36774604507331,1.83996411412687,1.36864141345895,1.84086169315625
500,15,2,0.146166197292846,0.146166197292846,0.146166197292846,1.61966727023501,1.60385781554317,1.6047516971046,0.12117305211974,0.120833484080906,0.120834544451513,1.38216808808032,1.8571664523897,1.3670241867446,1.84069144434175,1.36791598997963,1.84158740422956,0.0995690590190109,0.107113047013104,0.107115409025332,1.42451191455775,1.81482262591227,1.39391624339749,1.81379938768886,1.39480549541495,1.81469789879425,0.0940268511999141,0.106646532554813,0.10679093024047,1.43537464188318,1.80395989858684,1.39483061173574,1.81288501935061,1.39544147383327,1.81406192037592,0.120488801986735,0.120408752724283,0.120409264401865,1.38350921834101,1.85582532212901,1.36785666020358,1.83985897088277,1.36874953887694,1.84075385533225
500,16,1,0.307690757632413,0.307690757632413,0.307690757632413,1.27929859131592,1.32908951762002,1.32821232885744,0.121879904625769,0.122354205547565,0.122354764575295,1.04041397824941,1.51818320438243,1.08927527474679,1.56890376049325,1.08839699028986,1.56802766742502,0.0984051136860993,0.108430121664006,0.108430566731711,1.08642456849117,1.47217261414068,1.11656647915857,1.54161255608147,1.11568841806329,1.5407362396516,0.0982450577370243,0.107481401610273,0.106783908236653,1.08673827815135,1.47185890448049,1.11842597046388,1.53975306477616,1.1189158687136,1.53750878900128,0.121599091188267,0.122017435583692,0.122017835463113,1.04096437258692,1.51763281004492,1.08993534387598,1.56824369136406,1.08905737134974,1.56736728636514
500,17,1,0.147167905391594,0.147167905391594,0.147167905391594,1.42681497873224,1.41522140513725,1.41520014496559,0.12181352416745,0.121674288350167,0.121674256108488,1.18806047136403,1.66556948610044,1.17673979997092,1.65370301030358,1.17671860299296,1.65368168693823,0.103759002286208,0.10755312336432,0.107552951239217,1.22344733425127,1.6301826232132,1.20441728334318,1.62602552693132,1.20439636053673,1.62600392939446,0.100657054731811,0.105232589313168,0.105425510289953,1.22952715145789,1.62410280600659,1.20896553008344,1.62147728019106,1.20856614479728,1.6218341451339,0.121277580057,0.121084490082516,0.121084460515988,1.18911092182052,1.66451903564396,1.17789580457552,1.65254700569898,1.17787460235426,1.65252568757693
500,17,2,0.0968266545603916,0.0968266545603916,0.0968266545603916,1.42681497873224,1.41521967585106,1.41520017110289,0.121918344348383,0.121674225723675,0.121674254272949,1.18785502380941,1.66577493365507,1.17673819343266,1.65370115826946,1.17671863272791,1.65368170947787,0.103065989714973,0.108342652677112,0.108342744358399,1.22480563889089,1.62882431857358,1.20286807660392,1.6275712750982,1.20284839216043,1.62755195004535,0.0983192544926726,0.104941991160285,0.10647996874615,1.2341092399266,1.61952071753788,1.2095333731769,1.62090597852522,1.20649943236043,1.62390090984534,0.121396813145558,0.121076334887249,0.121076361364898,1.18887722496694,1.66475273249753,1.17791005947205,1.65252929223007,1.17789050282769,1.65250983937809
500,18,1,0.137671163640785,0.137671163640785,0.137671163640785,1.59312914979607,1.58686281559644,1.58687489563738,0.120181430028651,0.118485893817598,0.11848596571098,1.35757354693991,1.82868475265223,1.35463046371395,1.81909516747893,1.35464240284386,1.8191073884309,0.0949041483564553,0.104479855988286,0.104479754629194,1.40711701901742,1.77914128057472,1.3820822978594,1.79164333333348,1.38209457656416,1.7916552147106,0.0913283239117477,0.099810964907272,0.0998111025553891,1.41412563492904,1.7721326646631,1.39123332437818,1.78249230681469,1.39124513462882,1.78250465664594,0.120081913221426,0.118354525547013,0.118354601029976,1.35776859988208,1.82848969971006,1.35488794552429,1.81883768566858,1.35489987761863,1.81884991365613
500,18,2,0.0905784326365417,0.0905784326365417,0.0905784326365417,1.59312914979607,1.58686475302467,1.5868748897487,0.120779617484995,0.118485978543666,0.118485971239052,1.35640109952548,1.82985720006666,1.35463223507908,1.81909727097025,1.35464238612016,1.81910739337724,0.0955382079470683,0.104760792641519,0.104760554201974,1.40587426221982,1.78038403737232,1.38153359944729,1.79219590660204,1.38154420351283,1.79220557598457,0.0909754446153235,0.0998126996425438,0.099812714509672,1.41481727835004,1.7714410212421,1.39123186172528,1.78249764432405,1.39124196930974,1.78250781018766,0.12064213333115,0.11837421221152,0.118374211855277,1.35667056846702,1.82958773112512,1.35485129709009,1.81887820895925,1.35486143451236,1.81888834498504
500,19,1,0.173408616020946,0.173408616020946,0.173408616020946,1.50527782222922,1.52412117532344,1.52409789084514,0.118798279252489,0.119105586854287,0.119105688894107,1.27243319489434,1.7381224495641,1.29067422508904,1.75756812555784,1.2906507406127,1.75754504107759,0.101327363149146,0.106141829848464,0.106141703049167,1.30667619045689,1.70387945400155,1.31608318882045,1.73215916182643,1.31606015286878,1.73213562882151,0.092490058853243,0.104580936742385,0.102687934394991,1.32399730687686,1.68655833758158,1.31914253930836,1.72909981133851,1.32282953943096,1.72536624225933,0.118941945372135,0.119253238608281,0.119253336936279,1.27215160929983,1.7384040351586,1.29038482765121,1.75785752299567,1.29036135045004,1.75783443124025
500,19,2,0.114091289922067,0.114091289922067,0.114091289922067,1.50527782222922,1.52412044698173,1.52409808177132,0.11845983028094,0.11910556766878,0.119105686161672,1.27309655487858,1.73745908957986,1.29067353435092,1.75756735961254,1.29065093689444,1.7575452266482,0.100491688045375,0.106636771246335,0.106636830262886,1.30831411366028,1.70224153079815,1.31511237533891,1.73312851862455,1.31508989445606,1.73310626908658,0.0867871220859078,0.101361399525809,0.101361347381354,1.33517506294084,1.6753805815176,1.32545210391114,1.72278879005232,1.32542984090386,1.72276632263877,0.118632440504479,0.119311668472239,0.119311793272277,1.27275823884044,1.737797405618,1.29026957677614,1.75797131718732,1.29024696695766,1.75794919658498
