"n","B","j","delta_lambda","kappa_IM","psi_delta","se_delta","lower_delta","upper_delta"
500,115,1,1.00712697442294,62306.8082867544,1.50854884159926,0.186495652368689,1.14301736295663,1.87408032024189
500,116,1,0.718517348302801,140802.333011184,1.48979602179943,0.197931487628474,1.10185030604762,1.87774173755124
500,117,1,1.06374074943726,14.6347114527268,1.42357968208236,0.167894880215153,1.09450571686066,1.75265364730406
500,118,1,0.648785378232615,12556.3799266807,1.85800375171368,0.21058007702043,1.44526680075363,2.27074070267372
500,119,1,0.251953970853291,5.71171484046855e+21,2.10072329215286,0.474280629352183,1.17113325862258,3.03031332568314
500,120,1,0.500389381536772,61578.6245033551,3.65411359664031,0.407958003935494,2.85451590892674,4.45371128435388
500,121,1,0.1758299287516,265167621.177028,2.46598479168453,0.656054464749441,1.18011804077562,3.75185154259343
500,122,1,0.197595283101808,7666033.3433645,3.1835183906383,0.385461284265671,2.42801427347758,3.93902250779901
500,123,1,0.752470839560446,456231.087172812,2.14027959495962,0.275152758772347,1.60098018776582,2.67957900215342
500,124,1,0.652914564459587,7530.87682169559,1.72391366318305,0.171603528830999,1.38757074667429,2.06025657969181
500,125,1,0.342789623431198,38935.0861858572,2.6145625145749,0.250712080939132,2.1231668359342,3.1059581932156
500,126,1,0.667855071673199,7.75777322565178,1.38424287285287,0.1692386779009,1.0525350641671,1.71595068153863
500,127,1,0.465322166810315,30725.7264097512,1.72925906042116,0.231131422190789,1.27624147292722,2.18227664791511
500,128,1,0.799797459895788,11740.0268154958,2.00015032345053,0.202822071015531,1.60261906426009,2.39768158264097
500,129,1,0.360381879716394,451280.041270107,2.77941595118213,0.333407981975674,2.12593630650981,3.43289559585445
500,130,1,0.353014092255418,14792528.6710453,3.46118128347262,0.436324701278417,2.60598486896692,4.31637769797832
500,131,1,1.1726867872002,9699.4604039797,1.30562434050478,0.174808706827648,0.962999275122586,1.64824940588697
500,132,1,1.18566024145671,5081.23201737585,1.65986715415091,0.228286565951008,1.21242548488693,2.10730882341488
500,133,1,0.855372890066185,44.4665904478839,1.45323417773934,0.162863219243111,1.13402226802284,1.77244608745584
500,134,1,0.599030327882149,701764.820892481,1.7045389626597,0.193489709580556,1.32529913188182,2.08377879343759
500,135,1,0.368536800066382,12356292.3115041,3.51083306057234,0.476264535991071,2.57735457002984,4.44431155111483
500,136,1,1.00048617529865,13.7982531179518,1.28816429645589,0.192222323565015,0.91140854226846,1.66492005064332
500,137,1,0.743014144329818,23614.6214215762,1.61961171937813,0.181571600935251,1.26373138154504,1.97549205721122
500,138,1,1.08412500027169,56.8331688546702,1.26281551109525,0.163484514377604,0.942385862915145,1.58324515927535
500,139,1,0.311483773905705,7424497.58092999,4.21581989175471,0.531692233829665,3.17370311344856,5.25793667006085
500,140,1,0.334054291745546,1479115.35573012,3.86599535391276,0.520106819302674,2.84658598807952,4.88540471974601
500,141,1,0.200185034122921,88849464.7954826,3.02397019158831,0.33254584846587,2.3721803285952,3.67576005458141
500,142,1,1.20015274462325,12.8176772769329,1.35271790763571,0.192090699351369,0.976220136907023,1.72921567836439
500,143,1,0.79963694743563,15.0324260116292,1.28335248521791,0.151415613523647,0.986577882711561,1.58012708772426
500,144,1,0.188875255436639,2980177.15544353,3.54113015401209,0.456717429477543,2.6459639922361,4.43629631578807
500,145,1,0.213571024494239,107783241.442983,2.8342773897802,0.779217925506283,1.30701025578789,4.36154452377252
500,146,1,0.154890789527149,1616656.3116577,1.99117263316326,0.656512522519723,0.7044080890246,3.27793717730191
500,147,1,1.0107495943206,15.2826176943711,1.62492509564723,0.168769124131948,1.29413761234861,1.95571257894585
500,148,1,0.680307392551384,15.3940374254518,1.7154828649468,0.171347169345653,1.37964241302932,2.05132331686428
500,149,1,0.419602275243037,503166.03334936,2.87931184622741,0.239719434894917,2.40946175383337,3.34916193862144
500,150,1,1.13167615674491,17.6323797865084,1.31935955414603,0.176614061551353,0.973195993505378,1.66552311478668
500,151,1,0.721227407050107,14.5680146669477,1.47146339191671,0.169973770318201,1.13831480209303,1.80461198174038
500,152,1,0.501368131247103,73862.6478247359,2.10668273050562,0.225526772878148,1.66465025566445,2.54871520534679
500,153,1,0.607061761648489,684640.258435188,1.75436578364626,0.208892113678584,1.34493724083624,2.16379432645629
500,154,1,0.655172013051795,1501264.6766036,3.24471206014147,0.429407535108728,2.40307329132836,4.08635082895458
500,155,1,0.588944876543336,27136.6440739877,1.77615871795679,0.184298057363611,1.41493452552412,2.13738291038947
500,156,1,0.70265187157793,4929479.70019421,1.72800017427025,0.1679081914981,1.39890011893397,2.05710022960652
500,157,1,0.577496214295625,6105.4281811258,1.5086728646686,0.170827356879073,1.17385124518562,1.84349448415159
500,158,1,0.614201224861921,15.1884027099041,1.29946557863694,0.166612197741335,0.972905671063924,1.62602548620996
500,159,1,0.530283611065607,5735.70228010153,2.37402645182802,0.212936243501975,1.95667141456415,2.79138148909189
500,160,1,1.02139112091298,1,-0.727535541286988,0.29312753795781,-1.3020655156843,-0.153005566889681
500,161,1,1.23539643580045,61.2150208378785,1.55428109806772,0.198871014325851,1.16449390998905,1.94406828614638
500,162,1,0.677124195638183,137563.065951665,1.81334356776973,0.160168441328216,1.49941342276643,2.12727371277303
500,163,1,0.30813665333997,438060.52475992,2.88325108144696,0.375978543986817,2.1463331352328,3.62016902766112
500,164,1,0.812322403460279,48783.1429714491,2.13748275273521,0.221063226201456,1.70419882938036,2.57076667609006
500,165,1,0.63045877929981,40265.7060089755,2.48474915781684,0.29179483740543,1.9128312765022,3.05666703913148
500,166,1,0.955654275066941,15.9469771625439,1.61070833667629,0.177325062678619,1.2631512138262,1.95826545952638
500,167,1,0.69533245518439,10516.1332765286,1.50949130850815,0.194930320629669,1.127427880074,1.8915547369423
500,168,1,0.70366229400996,13.0347383550045,1.27779180074736,0.185458811684585,0.914292529845571,1.64129107164914
500,169,1,1.05675955920516,594.461082552231,1.58413657208483,0.202143948165798,1.18793443367986,1.98033871048979
500,170,1,0.289253700512662,1828248.6634032,2.25949265732986,0.226600011057453,1.81535663565725,2.70362867900247
500,171,1,0.676543239193626,19654.9546451217,1.6806854191087,0.180108643969194,1.32767247692908,2.03369836128832
500,172,1,0.857408567742387,32481.3109693861,1.69194619837388,0.164195629332542,1.3701227648821,2.01376963186567
500,173,1,1.34052905147623,8.18075554782956,1.45074603457138,0.21012555218579,1.03889995228723,1.86259211685553
500,174,1,1.35035754222025,1,-4.19809874265256,0.499332341721502,-5.17679013242671,-3.21940735287842
500,175,1,1.07431551722556,16.0459058510683,1.49902141062697,0.172565882725884,1.16079228048423,1.8372505407697
500,176,1,0.592574258648033,16084.3523479477,2.64353785223975,0.30081511098685,2.05394023470552,3.23313546977397
500,177,1,0.419677386187224,10188182.2524289,4.86439041853121,0.617518610597355,3.65405394176039,6.07472689530202
500,178,1,0.681708053824485,20707.2048277506,1.49437605678811,0.175023714976408,1.15132957543435,1.83742253814187
500,179,1,0.433417621886332,16.9284476453834,1.52668936995425,0.156085576543123,1.22076163992973,1.83261709997877
500,180,1,0.918214912912155,13.6526551830904,1.8070729429151,0.160125746972228,1.49322647884953,2.12091940698066
500,181,1,0.513775397006087,2867746.65636953,2.7515441056863,0.377685727014322,2.01128008073822,3.49180813063437
500,182,1,0.609624859544373,11829.2451195296,1.28365292611747,0.174790669789169,0.941063213330696,1.62624263890424
500,183,1,0.750540515010434,10528.0637333298,1.87639629210246,0.224473148194535,1.43642892164117,2.31636366256375
500,184,1,0.297778021427487,25576.5171022466,2.21505576349167,0.246566865356797,1.73178470739235,2.698326819591
500,185,1,1.0781714228389,66.6294963735516,1.60855983038229,0.172522609978168,1.27041551482509,1.9467041459395
500,186,1,0.937131463724485,8.93831360012785,1.44588844276383,0.174961545196146,1.10296381417939,1.78881307134828
500,187,1,0.679690721561644,54.9793458713615,1.68531163167915,0.195701963553195,1.30173578311489,2.06888748024342
500,188,1,0.638192157854651,903342.891554113,2.39798870588983,0.273591113702425,1.86175012303308,2.93422728874658
500,189,1,0.783533746000192,37965.1463689413,1.21770862624921,0.159397678426771,0.905289176532738,1.53012807596568
500,190,1,1.024478858092,9.98034579635929,1.45681310329342,0.20538680247904,1.0542549704345,1.85937123615234
500,191,1,0.907854100976917,7351.49909514841,1.64368811228231,0.190795491314488,1.26972894930592,2.01764727525871
500,192,1,0.594421681243893,334550.875227756,3.18838411366816,0.351399819051186,2.49964046832784,3.87712775900849
500,193,1,0.713461474407785,1630187.5244186,2.32043338675813,0.220731857565875,1.88779894592902,2.75306782758724
500,194,1,0.340846952764873,183766.198543605,4.04327346450063,0.450741048265341,3.15982100990056,4.9267259191007
500,195,1,0.730463083146313,54.8452885540846,1.38222891028426,0.180829518018796,1.02780305496743,1.7366547656011
500,196,1,0.83991712347047,14693.2770992624,2.67895429278725,0.327656262484568,2.0367480183175,3.32116056725701
500,197,1,0.371262074562597,9969035.2965001,2.53580503705131,0.328778428013308,1.89139931814523,3.1802107559574
500,198,1,0.394087170213403,3823.79943404108,3.23244144606236,0.374594877875897,2.4982354854256,3.96664740669911
500,199,1,0.417176190419594,12299.7128946619,2.46573771434235,0.2355789162195,2.00400303855213,2.92747239013257
500,200,1,0.957562290225731,970.124614360214,1.41932677573223,0.156727080878677,1.11214169721002,1.72651185425443
1000,1,1,0.190262287387013,52782145.560966,2.09022149078705,0.178930202011628,1.73951829484426,2.44092468672984
1000,2,1,0.398865320108689,650741.314687298,2.59452376449405,0.20585581185075,2.19104637326658,2.99800115572152
1000,3,1,0.924889994575975,10.8643690525917,1.70885535995296,0.116864253740069,1.47980142262243,1.9379092972835
1000,4,1,0.603426400521174,164809.445580578,1.6267171301748,0.115687880217089,1.39996888494931,1.85346537540029
1000,5,1,0.801116911400608,54.4515665344117,1.18464420827179,0.11808266205667,0.953202190640713,1.41608622590286
1000,6,1,0.299233522334968,52755.1681520859,2.29205878302815,0.211578610174098,1.87736470708691,2.70675285896938
1000,7,1,0.886077643126764,26881.1623524527,2.17230317098709,0.173503336090056,1.83223663225058,2.5123697097236
1000,8,1,1.03443967859928,2087.06103334253,1.44113185504874,0.12528874330465,1.19556591817163,1.68669779192585
1000,9,1,0.347656881498499,2234325.01831079,1.75204911239477,0.154575958577275,1.44908023358331,2.05501799120623
1000,10,1,0.860996550781229,33366.974750718,1.4067757587825,0.132934881755001,1.14622339054269,1.6673281270223
1000,11,1,0.21439593842418,3971461.90779668,3.76563808514245,0.37710710604765,3.02650815728906,4.50476801299585
1000,12,1,0.545490776722136,33331.6710878708,1.66189323226616,0.118056883453038,1.43050174069821,1.89328472383412
1000,13,1,0.576560758437562,10699.5022613088,1.49254867122721,0.121837718776055,1.25374674242614,1.73135060002828
1000,14,1,0.762827647815778,16.1250306765828,1.47236042037088,0.121249829262465,1.23471075501645,1.71001008572531
1000,15,1,0.683591453066989,8463.00866049662,1.89068359568989,0.161910490285107,1.57333903473107,2.2080281566487
1000,16,1,0.834921656962145,34929.3329481418,1.53380962904667,0.128519957319675,1.28191051270011,1.78570874539323
1000,17,1,0.736968397599194,16.2543649994053,1.35946220123847,0.109762218296391,1.14432825337755,1.5745961490994
1000,18,1,0.35480855855814,5187237.58417918,2.75515263197523,0.229237081893198,2.30584795146456,3.2044573124859
1000,19,1,0.683443397956243,35940.7397716022,1.65234347271778,0.111967094197679,1.43288796809033,1.87179897734523
1000,20,1,0.33282761011825,1888538.64369521,1.46427094293986,0.114722517113927,1.23941480939656,1.68912707648316
1000,21,1,0.775165650783858,15745.8496414769,1.35749584228135,0.117569961951314,1.12705871685677,1.58793296770592
1000,22,1,1.10370862766692,58.8723662765462,1.48761312924334,0.13536092127794,1.22230572353857,1.7529205349481
1000,23,1,0.503672771866475,5707528.78485149,1.71528497538071,0.130301095474801,1.4598948282501,1.97067512251132
1000,24,1,0.412430582770656,41766.4791190006,2.75072334614802,0.259646683895304,2.24181584571322,3.25963084658282
1000,25,1,0.66603773706435,16.515596399585,1.46671792938272,0.127100075456446,1.21760178148808,1.71583407727735
1000,26,1,0.883229685021633,59.5831103815297,1.38722992290663,0.119110461137878,1.15377341907639,1.62068642673687
1000,27,1,0.505912627371809,3611814.24347288,3.31785938928679,0.264758194459673,2.79893332814583,3.83678545042775
1000,28,1,0.457794357212151,6683619.78777421,2.65435279757578,0.246017395181869,2.17215870301932,3.13654689213225
1000,29,1,0.827341678870001,4959.11597523709,1.6005217652558,0.123990957226623,1.35749948909162,1.84354404141998
1000,30,1,0.740668089875541,90098.6318273227,1.48922558205454,0.126975067651648,1.24035444945731,1.73809671465177
1000,31,1,0.959933164893552,12.7470049891584,1.63090223979887,0.112378825806932,1.41063974121728,1.85116473838045
1000,32,1,0.846178708025281,11.2104871137867,1.55449283000942,0.122247790701714,1.31488716023406,1.79409849978478
1000,33,1,0.810387483008542,69.5259319262487,1.79809270639675,0.125972137123066,1.55118731763554,2.04499809515795
1000,34,1,0.800502007689952,1263.94329111367,1.48254448777954,0.120566654226501,1.24623384549559,1.71885513006348
1000,35,1,0.788779369698242,34203.9493199767,1.58635208951133,0.126466478294412,1.33847779205428,1.83422638696838
1000,36,1,0.265458679405684,3027866.01777905,3.32126300348065,0.29357794380964,2.74585023361376,3.89667577334755
